,tweet_id,rating_denominator,name,stage,date,time,numerator
0,892420643555336193,10,Phineas,None ,2017-08-01 00:00:00,2018-04-12 16:23:00,13.0
1,892177421306343426,10,Tilly,None ,2017-08-01 00:00:00,2018-04-12 00:17:00,13.0
2,891815181378084864,10,Archie,None ,2017-07-31 00:00:00,2018-04-12 00:18:00,12.0
3,891689557279858688,10,Darla,None ,2017-07-30 00:00:00,2018-04-12 15:58:00,13.0
4,891327558926688256,10,Franklin,None ,2017-07-29 00:00:00,2018-04-12 16:00:00,12.0
5,891087950875897856,10,None,None ,2017-07-29 00:00:00,2018-04-12 00:08:00,13.0
6,890971913173991426,10,Jax,None ,2017-07-28 00:00:00,2018-04-12 16:27:00,13.0
7,890729181411237888,10,None,None ,2017-07-28 00:00:00,2018-04-12 00:22:00,13.0
8,890609185150312448,10,Zoey,None ,2017-07-27 00:00:00,2018-04-12 16:25:00,13.0
9,890240255349198849,10,Cassie,doggo,2017-07-26 00:00:00,2018-04-12 15:59:00,14.0
10,890006608113172480,10,Koda,None ,2017-07-26 00:00:00,2018-04-12 00:31:00,13.0
11,889880896479866881,10,Bruno,None ,2017-07-25 00:00:00,2018-04-12 16:11:00,13.0
12,889665388333682689,10,None,puppo,2017-07-25 00:00:00,2018-04-12 01:55:00,13.0
13,889638837579907072,10,Ted,None ,2017-07-25 00:00:00,2018-04-12 00:10:00,12.0
14,889531135344209921,10,Stuart,puppo,2017-07-24 00:00:00,2018-04-12 17:02:00,13.0
15,889278841981685760,10,Oliver,None ,2017-07-24 00:00:00,2018-04-12 00:19:00,13.0
16,888917238123831296,10,Jim,None ,2017-07-23 00:00:00,2018-04-12 00:22:00,12.0
17,888804989199671297,10,Zeke,None ,2017-07-22 00:00:00,2018-04-12 16:56:00,13.0
18,888554962724278272,10,Ralphus,None ,2017-07-22 00:00:00,2018-04-12 00:23:00,13.0
20,888078434458587136,10,Gerald,None ,2017-07-20 00:00:00,2018-04-12 16:49:00,12.0
